age,lx,life_expectancy,nMx,lx_rate,life_expectancy_disc,pop
0,100000,62.51994577149176,0.028035298221674877,1,28.081105874147198,89767.8795
1,99769.6170318908,62.58356382392586,0.02583416910041051,0.997696170318908,28.090987654885172,89561.0695947992
2,99539.23406378158,62.64718187635995,0.02363303997914614,0.9953923406378158,28.10086943562315,89354.2596895984
3,99308.85109567238,62.710799928794046,0.02143191085788177,0.9930885109567238,28.110751216361123,89147.44978439761
4,99078.46812756317,62.77441798122814,0.019230781736617405,0.9907846812756317,28.1206329970991,88940.63987919681
5,98848.08515945396,62.838036033662235,0.01702965261535304,0.9884808515945396,28.130514777837075,88733.82997399602
6,98617.70219134475,62.90165408609633,0.014828523494088669,0.9861770219134476,28.14039655857505,88527.02006879523
7,98387.31922323555,62.96527213853042,0.0126273943728243,0.9838731922323555,28.150278339313026,88320.21016359441
8,98156.93625512633,63.02889019096452,0.010426265251559933,0.9815693625512634,28.160029415928385,88113.40025839362
9,97926.55328701713,63.09250824339861,0.008225136130295563,0.9792655328701713,28.169623377809913,87906.59035319282
10,97696.17031890793,63.156126295832706,0.006024007009031197,0.9769617031890793,28.17921733969144,87699.78044799203
11,97465.78735079871,63.2197443482668,0.003822877887766831,0.974657873507987,28.188811301572972,87492.97054279123
12,97235.4043826895,63.283362400700895,0.001621748766502463,0.972354043826895,28.1984052634545,87286.16063759044
13,97222.27408283127,63.20852087293588,0.0015982848945504924,0.9722227408283127,28.187118738057062,87274.37384583571
14,97209.14378297304,63.13367934517086,0.0015748210225985221,0.9720914378297304,28.175832212659625,87262.58705408098
15,97196.0134831148,63.058837817405845,0.0015513571506465516,0.9719601348311481,28.164545687262184,87250.80026232624
16,97182.88318325656,62.98399628964083,0.0015278932786945813,0.9718288318325656,28.153186758365454,87239.01347057152
17,97169.75288339834,62.90915476187581,0.0015044294067426108,0.9716975288339834,28.14156163720609,87227.22667881679
18,97156.6225835401,62.834313234110795,0.0014809655347906405,0.971566225835401,28.12993651604673,87215.43988706206
19,97143.49228368186,62.759471706345785,0.00145750166283867,0.9714349228368185,28.118311394887368,87203.65309530732
20,97130.36198382363,62.68463017858077,0.0014340377908866994,0.9713036198382363,28.10668627372801,87191.86630355261
21,97117.2316839654,62.60978865081575,0.0014105739189347291,0.971172316839654,28.095061152568647,87180.07951179789
22,97104.10138410715,62.534947123050735,0.0013871100469827586,0.9710410138410716,28.083436031409285,87168.29272004314
23,97090.97108424893,62.46010559528572,0.0013636461750307883,0.9709097108424893,28.071810910249923,87156.50592828843
24,97077.84078439069,62.3852640675207,0.0013401823030788178,0.9707784078439069,28.06018578909056,87144.71913653369
25,97067.00621247642,62.30884684135765,0.0013167184311268473,0.9706700621247643,28.048315914980066,87134.99317107335
26,97056.17164056216,62.232429615194604,0.001293254559174877,0.9705617164056216,28.036446040869574,87125.26720561301
27,97045.33706864787,62.15601238903155,0.0012697906872229064,0.9704533706864787,28.02457616675908,87115.54124015266
28,97034.5024967336,62.0795951628685,0.001246326815270936,0.9703450249673361,28.012706292648584,87105.81527469232
29,97023.66792481934,62.00317793670545,0.0012228629433189656,0.9702366792481933,28.00083641853809,87096.08930923197
30,97012.83335290506,61.926760710542396,0.001199399071366995,0.9701283335290506,27.98862525705453,87086.36334377162
31,97001.99878099079,61.85034348437935,0.0011759351994150246,0.970019987809908,27.97639928672072,87076.6373783113
32,96991.16420907652,61.7739262582163,0.0011524713274630542,0.9699116420907652,27.964173316386912,87066.91141285094
33,96980.32963716226,61.69750903205325,0.0011290074555110837,0.9698032963716225,27.951947346053103,87057.1854473906
34,96969.49506524799,61.6210918058902,0.0011055435835591132,0.9696949506524799,27.939721375719294,87047.45948193026
35,96958.66049333371,61.54467457972715,0.001082079711607143,0.969586604933337,27.927495405385486,87037.7335164699
36,96947.82592141944,61.4682573535641,0.0010586158396551724,0.9694782592141944,27.915269435051677,87028.00755100956
37,96939.27790473895,61.39030537281571,0.0010351519677032019,0.9693927790473895,27.902797919767178,87020.33417769619
38,96930.72988805846,61.31235339206733,0.0010116880957512315,0.9693072988805845,27.890326404482682,87012.6608043828
39,96922.18187137795,61.23440141131894,9.88224223799261e-4,0.9692218187137795,27.877854889198183,87004.98743106941
40,96913.63385469746,61.15644943057056,9.647603518472906e-4,0.9691363385469746,27.865383373913687,86997.31405775603
41,96905.08583801697,61.07849744982217,9.412964798953202e-4,0.9690508583801697,27.852911858629188,86989.64068444264
42,96896.53782133647,61.000545469073785,9.178326079433497e-4,0.9689653782133647,27.84044034334469,86981.96731112925
43,96887.98980465598,60.922593488325404,8.943687359913793e-4,0.9688798980465598,27.82759730068493,86974.29393781586
44,96879.44178797549,60.844641507577016,8.709048640394089e-4,0.968794417879755,27.814751639941896,86966.62056450249
45,96870.893771295,60.766689526828635,8.474409920874384e-4,0.96870893771295,27.801905979198864,86958.9471911891
46,96862.3457546145,60.68873754608025,8.23977120135468e-4,0.9686234575461449,27.78906031845583,86951.2738178757
47,96853.797737934,60.61078556533187,8.005132481834975e-4,0.96853797737934,27.7762146577128,86943.60044456231
48,96845.24972125351,60.53283358458348,7.770493762315271e-4,0.9684524972125351,27.763368996969763,86935.92707124894
49,96838.9810287035,60.45338913916739,7.535855042795567e-4,0.9683898102870351,27.750277393858006,86930.29979887443
50,96832.7123361535,60.373944693751305,7.301216323275862e-4,0.968327123361535,27.737185790746246,86924.67252649991
51,96826.4436436035,60.29450024833522,7.066577603756157e-4,0.968264436436035,27.724094187634485,86919.04525412539
