"Region, subregion, country or area",Country code,Type,Parent code,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
South Africa,710,Country/Area,913,19.0,17.8,16.9,16.2,15.5,14.7
Kenya,404,Country/Area,910,27.4,25.9,24.4,22.6,20.9,19.5
